character_name,traits,category
Liam Hemsworth,"['is_male', 'is_actor']",Acting
Jordana Brewster,"['is_female', 'is_actor']",Acting
Treat Williams,"['is_male', 'is_actor']",Acting
Ivana Miličević,"['is_female', 'is_actor']",Acting
Jung Suk-won,"['is_male', 'is_actor']",Acting
Jeremy Sisto,"['is_male', 'is_actor']",Acting
Sarah Wayne Callies,"['is_female', 'is_actor']",Acting
Amber Valletta,"['is_female', 'is_actor']",Acting
Jennifer Love Hewitt,"['is_female', 'is_actor']",Acting
Nathan Jones,"['is_male', 'is_actor']",Acting
Tom Hollander,"['is_male', 'is_actor']",Acting
Madison Iseman,"['is_female', 'is_actor']",Acting
Hope Davis,"['is_female', 'is_actor']",Acting
Virginie Efira,"['is_female', 'is_actor']",Acting
Brenton Thwaites,"['is_male', 'is_actor']",Acting
David Harbour,"['is_male', 'is_actor']",Acting
Lena Olin,"['is_female', 'is_actor']",Acting
Mike Starr,"['is_male', 'is_actor']",Acting
Michael Gambon,"['is_male', 'is_actor']",Acting
Jon Cryer,"['is_male', 'is_actor']",Acting
Jaren Lewison,"['is_female', 'is_actor']",Acting
Machine Gun Kelly,"['is_male', 'is_actor']",Acting
Michelle Dockery,"['is_female', 'is_actor']",Acting
Florence Guérin,"['is_female', 'is_actor']",Acting
Itziar Ituño,"['is_female', 'is_actor']",Acting
Manu Ríos,"['is_male', 'is_actor']",Acting
Paulina Gaitán,"['is_female', 'is_actor']",Acting
Nora Arnezeder,"['is_female', 'is_actor']",Acting
Patrick Fabian,"['is_male', 'is_actor']",Acting
Scott Eastwood,"['is_male', 'is_actor']",Acting
Jon Voight,"['is_male', 'is_actor']",Acting
Laurent Lafitte,"['is_male', 'is_actor']",Acting
Lim Cheol-soo,"['is_male', 'is_actor']",Acting
Lucy Punch,"['is_female', 'is_actor']",Acting
Chris Tucker,"['is_male', 'is_actor']",Acting
Christopher Lambert,"['is_male', 'is_actor']",Acting
Asia Argento,"['is_female', 'is_actor']",Acting
Rae Dawn Chong,"['is_female', 'is_actor']",Acting
Michael Madsen,"['is_male', 'is_actor']",Acting
Raymond Burr,"['is_male', 'is_actor']",Acting
Keith David,"['is_male', 'is_actor']",Acting
Miki Takakura,"['is_female', 'is_actor']",Acting
Yang Zi,"['is_female', 'is_actor']",Acting
Jacqueline Obradors,"['is_female', 'is_actor']",Acting
Matthew Macfadyen,"['is_male', 'is_actor']",Acting
Edvin Ryding,"['is_male', 'is_actor']",Acting
Katharine Isabelle,"['is_female', 'is_actor']",Acting
Lee Si-woo,"['is_female', 'is_actor']",Acting
Catherine Deneuve,"['is_female', 'is_actor']",Acting
Akın Akınözü,"['is_male', 'is_actor']",Acting
Amanda Tapping,"['is_female', 'is_actor']",Acting
Adam Rodríguez,"['is_male', 'is_actor']",Acting
David Bowie,"['is_male', 'is_actor']",Acting
